flatmates_id,url,suburb,city,price,price_includes_bills,rooms_available,house_type,bedroom_count,bathroom_count,people_count,date
P1304052,/share-house-sydney-north-bondi-2026-P1304052,North Bondi,Sydney,1100,True,1,Flatshare,2,1,3,19-08-2023
P1408807,/student-accommodation-sydney-eastlakes-2018-P1408807,Eastlakes,Sydney,165,True,1,Student Accommodation,2,1,1,19-08-2023
P1401683,/share-house-sydney-chatswood-2067-P1401683,Chatswood,Sydney,330,False,1,Share House,3,2,4,19-08-2023
P784973,/share-house-sydney-glebe-2037-P784973,Glebe,Sydney,350,True,1,Share House,6,3,6,19-08-2023
P1384051,/share-house-sydney-beverly-hills-2209-P1384051,Beverly Hills,Sydney,240,True,1,Share House,4,2,3,19-08-2023
P1310076,/share-house-sydney-chippendale-2008-P1310076,Chippendale,Sydney,392,True,2,Share House,6,4,7,19-08-2023
P1142506,/share-house-sydney-rosebery-2018-P1142506,Rosebery,Sydney,320,True,1,Share House,3,2,2,19-08-2023
P1295009,/share-house-sydney-double-bay-2028-P1295009,Double Bay,Sydney,450,False,1,Flatshare,2,1,2,19-08-2023
P453344,/share-house-sydney-queenscliff-2096-P453344,Queenscliff,Sydney,375,False,1,Flatshare,2,1,1,19-08-2023
P1413023,/share-house-sydney-macquarie-park-2113-P1413023,Macquarie Park,Sydney,325,False,1,Flatshare,2,1,2,19-08-2023
P1411743,/share-house-sydney-hornsby-heights-2077-P1411743,Hornsby Heights,Sydney,450,False,3,Share House,4,2,5,19-08-2023
P1405318,/student-accommodation-sydney-catherine-field-2557-P1405318,Catherine Field,Sydney,300,True,1,Student Accommodation,1,1,1,19-08-2023
P1378438,/share-house-sydney-hornsby-2077-P1378438,Hornsby,Sydney,225,False,1,Share House,3,2,3,19-08-2023
P437920,/studio-sydney-marsfield-2122-P437920,Marsfield,Sydney,560,True,1,Studio for rent,1,1,0,19-08-2023
P1409457,/1-bed-sydney-carlingford-2118-P1409457,Carlingford,Sydney,450,True,1,Bed for rent,1,1,0,19-08-2023
P1413058,/share-house-sydney-north-manly-2100-P1413058,North Manly,Sydney,420,False,1,Share House,2,1,2,19-08-2023
P1383230,/share-house-sydney-narrabeen-2101-P1383230,Narrabeen,Sydney,385,True,1,Flatshare,2,1,1,19-08-2023
P1147323,/share-house-sydney-2000-P1147323,Sydney,Sydney,410,False,1,Flatshare,2,2,3,19-08-2023
P609395,/share-house-sydney-redfern-2016-P609395,Redfern,Sydney,295,True,1,Flatshare,4,1,3,19-08-2023
P1391611,/share-house-sydney-sydney-olympic-park-2127-P1391611,Sydney Olympic Park,Sydney,550,True,1,Flatshare,2,2,4,19-08-2023
P1267326,/share-house-sydney-earlwood-2206-P1267326,Earlwood,Sydney,350,True,1,Share House,2,1,1,19-08-2023
P1413054,/share-house-sydney-carlingford-2118-P1413054,Carlingford,Sydney,280,False,1,Flatshare,2,2,3,19-08-2023
P1353194,/studio-sydney-bondi-2026-P1353194,Bondi,Sydney,595,True,1,Studio for rent,1,1,0,19-08-2023
P1400261,/share-house-sydney-tempe-2044-P1400261,Tempe,Sydney,420,False,1,Share House,3,2,2,19-08-2023
P1235200,/share-house-sydney-rhodes-2138-P1235200,Rhodes,Sydney,470,False,1,Flatshare,3,2,3,19-08-2023
P1403128,/homestay-sydney-malabar-2036-P1403128,Malabar,Sydney,650,True,1,Homestay,1,1,1,19-08-2023
P1266734,/1-bed-sydney-coogee-2034-P1266734,Coogee,Sydney,750,False,1,Bed for rent,1,1,0,19-08-2023
P866731,/student-accommodation-sydney-mcmahons-point-2060-P866731,McMahons Point,Sydney,512,True,5,Student Accommodation,6,4,7,19-08-2023
P1123626,/share-house-sydney-surry-hills-2010-P1123626,Surry Hills,Sydney,475,True,3,Flatshare,6,2,7,19-08-2023
P1397511,/share-house-sydney-chatswood-2067-P1397511,Chatswood,Sydney,425,True,1,Share House,5,2,7,19-08-2023
P1397520,/share-house-sydney-chatswood-2067-P1397520,Chatswood,Sydney,425,True,1,Share House,5,2,5,19-08-2023
P929206,/share-house-sydney-chatswood-2067-P929206,Chatswood,Sydney,425,True,1,Share House,5,2,5,19-08-2023
P1016131,/share-house-sydney-glebe-2037-P1016131,Glebe,Sydney,512,True,4,Flatshare,6,4,7,19-08-2023
P1397393,/share-house-sydney-mcmahons-point-2060-P1397393,McMahons Point,Sydney,475,True,1,Share House,6,4,7,19-08-2023
P1278648,/share-house-sydney-forest-lodge-2037-P1278648,Forest Lodge,Sydney,525,True,1,Flatshare,6,4,7,19-08-2023
P1397475,/share-house-sydney-glebe-2037-P1397475,Glebe,Sydney,575,True,1,Share House,6,4,7,19-08-2023
P1397344,/share-house-sydney-forest-lodge-2037-P1397344,Forest Lodge,Sydney,525,True,1,Share House,6,4,7,19-08-2023
P1397332,/share-house-sydney-surry-hills-2010-P1397332,Surry Hills,Sydney,450,True,1,Share House,6,2,7,19-08-2023
P1397128,/share-house-sydney-surry-hills-2010-P1397128,Surry Hills,Sydney,525,True,1,Share House,6,4,7,19-08-2023
P1397377,/share-house-sydney-mcmahons-point-2060-P1397377,McMahons Point,Sydney,475,True,1,Share House,6,4,7,19-08-2023
P1405240,/share-house-sydney-mcmahons-point-2060-P1405240,McMahons Point,Sydney,600,True,1,Share House,6,4,7,19-08-2023
P1397479,/share-house-sydney-glebe-2037-P1397479,Glebe,Sydney,425,True,1,Share House,6,4,7,19-08-2023
P1405020,/share-house-sydney-mcmahons-point-2060-P1405020,McMahons Point,Sydney,450,True,1,Share House,6,4,7,19-08-2023
P1397394,/share-house-sydney-mcmahons-point-2060-P1397394,McMahons Point,Sydney,575,True,1,Share House,6,4,7,19-08-2023
P1397476,/share-house-sydney-glebe-2037-P1397476,Glebe,Sydney,425,True,1,Share House,6,4,7,19-08-2023
P1397370,/share-house-sydney-mcmahons-point-2060-P1397370,McMahons Point,Sydney,425,True,1,Share House,6,4,7,19-08-2023
P1125511,/share-house-sydney-haymarket-2000-P1125511,Haymarket,Sydney,550,True,2,Flatshare,6,4,7,19-08-2023
P1413044,/share-house-sydney-edgecliff-2027-P1413044,Edgecliff,Sydney,450,False,1,Flatshare,2,2,2,19-08-2023
P272565,/share-house-sydney-alexandria-2015-P272565,Alexandria,Sydney,450,True,1,Share House,3,2,2,19-08-2023
P1413046,/share-house-sydney-pyrmont-2009-P1413046,Pyrmont,Sydney,520,False,1,Flatshare,2,2,2,19-08-2023
P1340496,/student-accommodation-sydney-leichhardt-2040-P1340496,Leichhardt,Sydney,390,True,1,Student Accommodation,1,1,1,19-08-2023
P1407788,/student-accommodation-sydney-2000-P1407788,Sydney,Sydney,550,False,1,Student Accommodation,2,1,4,19-08-2023
P195519,/share-house-sydney-darlinghurst-2010-P195519,Darlinghurst,Sydney,500,False,1,Flatshare,2,2,2,19-08-2023
P1406177,/share-house-sydney-2000-P1406177,Sydney,Sydney,650,True,1,Share House,2,1,4,19-08-2023
P1368900,/share-house-sydney-penrith-2750-P1368900,Penrith,Sydney,380,True,1,Share House,3,2,3,19-08-2023
P1282509,/share-house-sydney-crows-nest-2065-P1282509,Crows Nest,Sydney,400,False,1,Flatshare,2,1,1,19-08-2023
P1349704,/share-house-sydney-enmore-2042-P1349704,Enmore,Sydney,370,True,4,Share House,6,2,6,19-08-2023
P1412917,/share-house-sydney-parramatta-2150-P1412917,Parramatta,Sydney,350,False,1,Flatshare,2,2,1,19-08-2023
P1410409,/homestay-sydney-rockdale-2216-P1410409,Rockdale,Sydney,300,True,1,Homestay,4,2,4,19-08-2023
P1277899,/share-house-sydney-mascot-2020-P1277899,Mascot,Sydney,550,True,1,Flatshare,2,2,1,19-08-2023
P1412788,/share-house-sydney-sydney-olympic-park-2127-P1412788,Sydney Olympic Park,Sydney,350,True,1,Flatshare,2,2,1,19-08-2023
P1389497,/share-house-sydney-ashfield-2131-P1389497,Ashfield,Sydney,380,False,1,Flatshare,2,1,2,19-08-2023
P1413020,/share-house-sydney-mascot-2020-P1413020,Mascot,Sydney,550,True,1,Flatshare,3,2,1,19-08-2023
P1413031,/share-house-sydney-bondi-beach-2026-P1413031,Bondi Beach,Sydney,600,True,1,Flatshare,3,1,3,19-08-2023
P1338443,/homestay-sydney-bankstown-2200-P1338443,Bankstown,Sydney,250,True,1,Homestay,3,1,1,19-08-2023
P1300264,/share-house-sydney-west-ryde-2114-P1300264,West Ryde,Sydney,330,True,1,Share House,2,1,1,19-08-2023
P1302654,/share-house-sydney-north-richmond-2754-P1302654,North Richmond,Sydney,250,True,1,Share House,5,4,4,19-08-2023
P1408543,/whole-property-sydney-parramatta-2150-P1408543,Parramatta,Sydney,700,False,2,Whole Property for rent,2,2,0,19-08-2023
P1401192,/share-house-sydney-darlinghurst-2010-P1401192,Darlinghurst,Sydney,450,False,1,Share House,5,3,5,19-08-2023
P984423,/share-house-sydney-pyrmont-2009-P984423,Pyrmont,Sydney,500,True,1,Flatshare,3,3,5,19-08-2023
P1266549,/share-house-sydney-little-bay-2036-P1266549,Little Bay,Sydney,300,True,1,Flatshare,3,2,3,19-08-2023
P1404696,/share-house-sydney-dee-why-2099-P1404696,Dee Why,Sydney,400,False,1,Flatshare,2,2,2,19-08-2023
P1412881,/share-house-sydney-fairlight-2094-P1412881,Fairlight,Sydney,320,False,1,Flatshare,2,1,2,19-08-2023
P1411901,/share-house-sydney-marsfield-2122-P1411901,Marsfield,Sydney,390,False,2,Share House,5,4,3,19-08-2023
P1410963,/share-house-sydney-hurlstone-park-2193-P1410963,Hurlstone Park,Sydney,280,False,1,Flatshare,2,1,1,19-08-2023
P1412325,/share-house-sydney-burwood-2134-P1412325,Burwood,Sydney,250,True,1,Flatshare,2,2,2,19-08-2023
P1283599,/share-house-sydney-haymarket-2000-P1283599,Haymarket,Sydney,300,True,1,Flatshare,3,2,5,19-08-2023
P801867,/share-house-sydney-rosebery-2018-P801867,Rosebery,Sydney,300,False,1,Flatshare,2,1,2,19-08-2023
P428106,/share-house-sydney-cabramatta-2166-P428106,Cabramatta,Sydney,130,True,1,Flatshare,4,1,4,19-08-2023
P1412946,/share-house-sydney-surry-hills-2010-P1412946,Surry Hills,Sydney,400,True,2,Share House,2,1,2,19-08-2023
P1407010,/share-house-sydney-rockdale-2216-P1407010,Rockdale,Sydney,450,True,1,Share House,4,4,2,19-08-2023
P1412361,/share-house-sydney-marsfield-2122-P1412361,Marsfield,Sydney,247,True,4,Share House,5,2,1,19-08-2023
P1405418,/share-house-sydney-surry-hills-2010-P1405418,Surry Hills,Sydney,400,True,1,Flatshare,2,1,1,19-08-2023
P1408723,/share-house-sydney-sadleir-2168-P1408723,Sadleir,Sydney,320,False,1,Share House,3,1,1,19-08-2023
P1407615,/share-house-sydney-rose-bay-2029-P1407615,Rose Bay,Sydney,490,False,1,Flatshare,3,1,1,19-08-2023
P1389369,/student-accommodation-sydney-rose-bay-2029-P1389369,Rose Bay,Sydney,490,False,1,Student Accommodation,3,1,1,19-08-2023
P1413012,/student-accommodation-sydney-marrickville-2204-P1413012,Marrickville,Sydney,300,False,1,Student Accommodation,2,1,2,19-08-2023
P1296922,/share-house-sydney-homebush-2140-P1296922,Homebush,Sydney,280,False,1,Share House,3,2,2,19-08-2023
P1402753,/share-house-sydney-marrickville-2204-P1402753,Marrickville,Sydney,480,False,1,Flatshare,2,1,1,19-08-2023
P760501,/share-house-sydney-zetland-2017-P760501,Zetland,Sydney,449,False,1,Share House,2,1,2,19-08-2023
P1405216,/homestay-sydney-waterloo-2017-P1405216,Waterloo,Sydney,550,True,1,Homestay,2,2,1,19-08-2023
P795465,/share-house-sydney-castlecrag-2068-P795465,Castlecrag,Sydney,350,True,2,Share House,4,2,3,19-08-2023
P1413010,/share-house-sydney-hurstville-2220-P1413010,Hurstville,Sydney,250,True,1,Share House,4,2,1,19-08-2023
P1370774,/share-house-sydney-macquarie-park-2113-P1370774,Macquarie Park,Sydney,295,True,1,Flatshare,3,2,1,19-08-2023
P1177019,/whole-property-sydney-ermington-2115-P1177019,Ermington,Sydney,270,True,3,Whole Property for rent,3,2,2,19-08-2023
P1411236,/share-house-sydney-north-turramurra-2074-P1411236,North Turramurra,Sydney,500,False,1,Share House,4,2,3,19-08-2023
P1410728,/share-house-sydney-granville-2142-P1410728,Granville,Sydney,350,True,1,Flatshare,3,2,3,19-08-2023
P1412996,/share-house-sydney-oran-park-2570-P1412996,Oran Park,Sydney,315,False,1,Share House,3,2,2,19-08-2023
P1411411,/share-house-sydney-gladesville-2111-P1411411,Gladesville,Sydney,380,True,1,Flatshare,2,2,3,19-08-2023
P1409705,/share-house-sydney-north-ryde-2113-P1409705,North Ryde,Sydney,260,True,1,Share House,5,3,4,19-08-2023
P1140240,/share-house-sydney-rhodes-2138-P1140240,Rhodes,Sydney,300,False,1,Flatshare,2,2,1,19-08-2023
P1406641,/share-house-sydney-freshwater-2096-P1406641,Freshwater,Sydney,350,True,1,Flatshare,2,1,2,19-08-2023
P1281406,/share-house-sydney-kensington-2033-P1281406,Kensington,Sydney,550,True,1,Share House,4,3,4,19-08-2023
P1409466,/share-house-sydney-penshurst-2222-P1409466,Penshurst,Sydney,250,True,1,Share House,3,1,4,19-08-2023
P965107,/share-house-sydney-bondi-junction-2022-P965107,Bondi Junction,Sydney,315,False,1,Share House,3,1,3,19-08-2023
P1412786,/share-house-sydney-lilyfield-2040-P1412786,Lilyfield,Sydney,265,False,1,Share House,4,2,3,19-08-2023
